TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG
Toledo,2023,14.9,34.1,9.86,6.89,10.1,85.6
Towson,2023,14,37.3,12.2,6.21,12.3,71.8
Troy,2023,13.5,34.9,12.8,8.73,11,73.2
Tulane,2023,15.6,33.5,11.3,8.45,6.81,79.9
Tulsa,2023,11.6,31.9,13.2,5.47,9.03,65.3
UAB,2023,14.6,40.7,13.1,8.28,13.6,81.7
UC Davis,2023,12.2,37.1,14.7,7.09,11.8,74.8
UC Irvine,2023,14.9,36.8,12.4,6.94,9.44,75.3
UC Riverside,2023,13.2,36.8,12.3,5.15,11.5,72.4
UC San Diego,2023,12,33.5,12.1,5.8,8.3,68.6
UC Santa Barbara NCAA,2023,14.2,32.1,11.3,6.44,8.09,72.2
UCLA NCAA,2023,14.2,35.7,10.3,8.44,11.6,73.9
UNC Asheville NCAA,2023,12.9,35.1,14.1,6.35,8.44,75
UNC Greensboro,2023,14.5,36.9,11.8,7.13,10.3,72.1
UNC Wilmington,2023,10.7,33.2,12,6.76,9.53,68.9
UT Arlington,2023,13.5,35.9,13.8,6.38,12.7,66.4
Utah,2023,14.4,39.2,12,5.03,11.2,68.7
Utah State NCAA,2023,16.9,35.6,12.1,5,8.56,78.6
Utah Tech,2023,13.2,34.1,15.1,6.64,9.73,75.6
Utah Valley,2023,16.1,39.8,13.8,6.61,10.2,77
UTEP,2023,12,35.1,15.8,9,11.7,68.5
UTSA,2023,10.4,35.4,13.7,4.28,10.7,69.3
Valparaiso,2023,13.6,34,12.7,5.84,7.84,68.9
Vanderbilt,2023,11.7,36.3,10.9,4.97,11.2,72.5
Vermont NCAA,2023,13.6,31.4,9.33,5.97,6.52,73
Villanova,2023,11.2,31.7,10,5.67,7.15,69.9
Virginia NCAA,2023,15.8,32,8.56,6.91,8.25,67.8
Virginia Commonwealth NCAA,2023,13.2,33.3,13.4,8.94,9.26,71.4
VMI,2023,11.4,35.3,12.8,5.38,10.9,69.4
Virginia Tech,2023,15.5,33.4,9.94,5.27,8.52,74.2
Wagner,2023,12.1,35.9,12,6.75,12.9,63.1
Wake Forest,2023,13.5,34.2,12.1,6.03,8.33,76.6
Washington,2023,11.5,33.8,14,6.88,8.94,69.2
Washington State,2023,11.9,34.8,12,4.88,10.9,68.4
Weber State,2023,10.6,31.3,12.8,6.06,6.61,67.2
West Virginia NCAA,2023,13.2,33.8,13,6.7,11.1,76.3
Western Carolina,2023,12.7,37.1,10.8,5.42,10,74.5
Western Illinois,2023,13.7,34.5,10.7,5.8,9.47,73
Western Kentucky,2023,12.6,34.9,11.6,6.18,9.09,71.4
Western Michigan,2023,12.8,37,12.7,4.61,12.2,69.9
