TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG,MARCH MADNESS,FINAL FOUR,FINALS,WINNER
Tulane,2018,15.6,34.5,13.2,5.03,9.55,73.2,0,0,0,0
Tulsa,2018,12.6,38,12.9,4.48,11.2,73.5,0,0,0,0
UAB,2018,17,38,13.2,5.39,10.1,76.8,0,0,0,0
UC Davis,2018,12.4,32.2,12.9,7.06,8.09,72.4,0,0,0,0
UC Irvine,2018,12.3,41.2,13.9,5.09,12,69.7,0,0,0,0
UC Riverside,2018,12.5,35.1,13.8,6.13,10,65.3,0,0,0,0
UC Santa Barbara,2018,15,36.8,10.5,4.81,10.2,75.8,0,0,0,0
UCLA NCAA,2018,15,38.9,12.1,5.58,10.2,81.2,0,0,0,0
UNC Asheville,2018,15.4,33.9,13.8,7.41,8.24,75.2,0,0,0,0
UNC Greensboro NCAA,2018,13.9,37.3,13.7,7.63,11.9,73.2,1,0,0,0
UNC Wilmington,2018,15.3,40.9,12.9,5.13,14,79.4,0,0,0,0
UT Arlington,2018,16,39.2,14.9,6.74,11.1,77.6,0,0,0,0
Utah,2018,15.2,33.5,11.8,5.14,7.66,73.5,0,0,0,0
Utah State,2018,13.9,33.3,13,5,8.53,73.2,0,0,0,0
Utah Valley,2018,16.1,38.1,13.9,5.97,10.4,78.1,0,0,0,0
UTEP,2018,10.6,33.4,12.3,4.16,7,67.5,0,0,0,0
UTSA,2018,14.1,39.8,12.6,6.23,10.9,78.3,0,0,0,0
Valparaiso,2018,12.5,34.8,14.7,7.34,9.19,70.4,0,0,0,0
Vanderbilt,2018,12.3,33.8,11.8,4.81,9.75,72.4,0,0,0,0
Vermont,2018,13.4,33.1,11.1,3.83,7.66,73.9,0,0,0,0
Villanova NCAA,2018,16.4,35.9,10.7,6.47,9.63,86.6,1,1,1,1
Virginia NCAA,2018,13.5,32.3,8.53,6.82,8.29,67.1,1,0,0,0
Virginia Commonwealth,2018,15.5,36.5,13.5,6.36,10.4,76,0,0,0,0
VMI,2018,11.9,34.3,14.7,7.37,9.53,65.1,0,0,0,0
